titles,box_office,total
Bad Company,30.15701600000,30157016
Doom,28.21233700000,28212337
The Finest Hours,27.56955800000,27569558
Escape Plan,25.13596500000,25135965
Killer Elite,25.12498600000,25124986
Hard Rain,19.87056700000,19870567
Hart's War,19.07681500000,19076815
Rollerball,18.99054200000,18990542
The Legend of Hercules,18.84853800000,18848538
Ballistic: Ecks vs. Sever,14.29484200000,14294842
Osmosis Jones,13.59691100000,13596911
Legends of Oz: Dorothy’s Return,8.46234700000,8462347
Blackhat,7.88939500000,7889395
Basic Instinct 2,5.94613600000,5946136
Agora,0.61942300000,619423
Despicable Me,251.51398500000,251513985
Dinner for Schmucks,73.02633700000,73026337
The Twilight Saga: Eclipse,300.53175100000,300531751
The Sum of All Fears,118.47132000000,118471320
Ted 2,81.28483000000,81284830
The Score,71.06988400000,71069884
Hall Pass,45.06073400000,45060734
Money Train,35.32423200000,35324232
Dreamcatcher,33.68526800000,33685268
Mystery Men,29.76201100000,29762011
The Insider,28.96519700000,28965197
Doctor Seuss' The Lorax,214.03050000000,214030500
Body of Lies,39.39466600000,39394666
Abraham Lincoln: Vampire Hunter,37.51913900000,37519139
Last Man Standing,18.11592700000,18115927
The Last Legion,5.93206000000,5932060
Entrapment,87.70739600000,87707396
The X Files: Fight the Future,83.89831300000,83898313
Need for Speed,43.56850700000,43568507
Saving Private Ryan,216.33508500000,216335085
What Women Want,182.80512300000,182805123
Lincoln,182.20797300000,182207973
Ice Age,176.38740500000,176387405
Apollo 13,172.07049600000,172070496
The Matrix,171.47993000000,171479930
Les Miserables,148.80977000000,148809770
The Santa Clause 2,139.22585400000,139225854
Total Recall,119.39483900000,119394839
